 type |   user   |  database  | state  |   addr    | port  | local_addr | local_port |      connect_time       |      request_time       | wait | wait_us | close_needed |      ptr       |      link      | remote_pid | tls |    application_name    | prepared_statements 
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41150 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a058e0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40902 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a015b0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40928 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a01b10 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40918 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a01860 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41048 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a03e00 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41186 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a06650 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53480 | 127.0.0.1  |       6432 | 2026-09-18 07:08:59 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a00af0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53402 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e989ff570 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53394 | 127.0.0.1  |       6432 | 2026-09-18 07:08:57 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e989ff2c0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53406 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e989ffad0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40894 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a01300 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40982 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a02b30 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41092 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a04b70 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40998 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a02de0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53492 | 127.0.0.1  |       6432 | 2026-09-18 07:08:59 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a01050 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41154 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a05e40 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40910 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a02070 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41020 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a03340 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41074 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a04610 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41132 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |      85 |            0 | 0x559e98a05380 | 0x559e98a07ea0 |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41216 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a07110 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53414 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e989ff820 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41210 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a06e60 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53490 | 127.0.0.1  |       6432 | 2026-09-18 07:08:59 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a00da0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41026 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a035f0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40956 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:46 UTC |    0 |       0 |            0 | 0x559e98a025d0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | pgbouncer  | active | 127.0.0.1 | 34288 | 127.0.0.1  |       6432 | 2026-09-18 07:09:47 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a073c0 |                |          0 |     | psql                   |                   0
(49 rows)

